[2025-04-13 00:11:49,624]-[main] INFO  Application - Autoreload is disabled because the development mode is off.
[2025-04-13 00:11:52,551]-[main] INFO  Exposed - Preparing create tables statements took 342ms
[2025-04-13 00:11:52,770]-[main] INFO  Exposed - Executing create tables statements took 219ms
[2025-04-13 00:11:52,858]-[main] INFO  Exposed - Extracting table columns took 87ms
[2025-04-13 00:11:52,929]-[main] INFO  Exposed - Extracting primary keys took 71ms
[2025-04-13 00:11:53,189]-[main] INFO  Exposed - Extracting column constraints took 252ms
[2025-04-13 00:11:53,190]-[main] INFO  Exposed - Preparing alter table statements took 419ms
[2025-04-13 00:11:53,244]-[main] INFO  Exposed - Executing alter table statements took 54ms
[2025-04-13 00:11:53,493]-[main] INFO  Exposed - Checking mapping consistence took 248ms
[2025-04-13 00:11:53,603]-[main] INFO  Exposed - Preparing create tables statements took 51ms
[2025-04-13 00:11:53,648]-[main] INFO  Exposed - Executing create tables statements took 44ms
[2025-04-13 00:11:53,721]-[main] INFO  Exposed - Extracting table columns took 73ms
[2025-04-13 00:11:53,769]-[main] INFO  Exposed - Extracting primary keys took 48ms
[2025-04-13 00:11:53,918]-[main] INFO  Exposed - Extracting column constraints took 119ms
[2025-04-13 00:11:53,918]-[main] INFO  Exposed - Preparing alter table statements took 270ms
[2025-04-13 00:11:53,963]-[main] INFO  Exposed - Executing alter table statements took 45ms
[2025-04-13 00:11:54,122]-[main] INFO  Exposed - Checking mapping consistence took 159ms
[2025-04-13 00:11:54,218]-[main] INFO  Exposed - Preparing create tables statements took 62ms
[2025-04-13 00:11:54,261]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:11:54,312]-[main] INFO  Exposed - Extracting table columns took 51ms
[2025-04-13 00:11:54,400]-[main] INFO  Exposed - Extracting primary keys took 88ms
[2025-04-13 00:11:55,122]-[main] INFO  Exposed - Extracting column constraints took 720ms
[2025-04-13 00:11:55,124]-[main] INFO  Exposed - Preparing alter table statements took 863ms
[2025-04-13 00:11:55,167]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:11:55,307]-[main] INFO  Exposed - Checking mapping consistence took 139ms
[2025-04-13 00:11:55,357]-[main] INFO  Exposed - Preparing create tables statements took 50ms
[2025-04-13 00:11:55,402]-[main] INFO  Exposed - Executing create tables statements took 44ms
[2025-04-13 00:11:55,470]-[main] INFO  Exposed - Extracting table columns took 67ms
[2025-04-13 00:11:55,517]-[main] INFO  Exposed - Extracting primary keys took 47ms
[2025-04-13 00:11:55,853]-[main] INFO  Exposed - Extracting column constraints took 334ms
[2025-04-13 00:11:55,854]-[main] INFO  Exposed - Preparing alter table statements took 451ms
[2025-04-13 00:11:55,898]-[main] INFO  Exposed - Executing alter table statements took 44ms
[2025-04-13 00:11:56,050]-[main] INFO  Exposed - Checking mapping consistence took 151ms
[2025-04-13 00:11:56,119]-[main] INFO  Exposed - Preparing create tables statements took 51ms
[2025-04-13 00:11:56,163]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:11:56,213]-[main] INFO  Exposed - Extracting table columns took 49ms
[2025-04-13 00:11:56,268]-[main] INFO  Exposed - Extracting primary keys took 55ms
[2025-04-13 00:11:57,009]-[main] INFO  Exposed - Extracting column constraints took 738ms
[2025-04-13 00:11:57,010]-[main] INFO  Exposed - Preparing alter table statements took 846ms
[2025-04-13 00:11:57,053]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:11:57,193]-[main] INFO  Exposed - Checking mapping consistence took 140ms
[2025-04-13 00:11:57,244]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:11:57,286]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:11:57,333]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:11:57,378]-[main] INFO  Exposed - Extracting primary keys took 45ms
[2025-04-13 00:11:58,494]-[main] INFO  Exposed - Extracting column constraints took 1115ms
[2025-04-13 00:11:58,494]-[main] INFO  Exposed - Preparing alter table statements took 1207ms
[2025-04-13 00:11:58,538]-[main] INFO  Exposed - Executing alter table statements took 44ms
[2025-04-13 00:11:58,670]-[main] INFO  Exposed - Checking mapping consistence took 131ms
[2025-04-13 00:11:58,716]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:11:58,759]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:11:58,806]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:11:58,851]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:11:59,072]-[main] INFO  Exposed - Extracting column constraints took 220ms
[2025-04-13 00:11:59,072]-[main] INFO  Exposed - Preparing alter table statements took 312ms
[2025-04-13 00:11:59,115]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:11:59,247]-[main] INFO  Exposed - Checking mapping consistence took 131ms
[2025-04-13 00:11:59,292]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:11:59,334]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:11:59,381]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:11:59,425]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:11:59,643]-[main] INFO  Exposed - Extracting column constraints took 217ms
[2025-04-13 00:11:59,644]-[main] INFO  Exposed - Preparing alter table statements took 309ms
[2025-04-13 00:11:59,688]-[main] INFO  Exposed - Executing alter table statements took 44ms
[2025-04-13 00:11:59,818]-[main] INFO  Exposed - Checking mapping consistence took 129ms
[2025-04-13 00:11:59,863]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:11:59,906]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:11:59,952]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:11:59,997]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:00,341]-[main] INFO  Exposed - Extracting column constraints took 344ms
[2025-04-13 00:12:00,341]-[main] INFO  Exposed - Preparing alter table statements took 434ms
[2025-04-13 00:12:00,385]-[main] INFO  Exposed - Executing alter table statements took 44ms
[2025-04-13 00:12:00,519]-[main] INFO  Exposed - Checking mapping consistence took 134ms
[2025-04-13 00:12:00,565]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:12:00,608]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:12:00,656]-[main] INFO  Exposed - Extracting table columns took 48ms
[2025-04-13 00:12:00,702]-[main] INFO  Exposed - Extracting primary keys took 46ms
[2025-04-13 00:12:00,929]-[main] INFO  Exposed - Extracting column constraints took 227ms
[2025-04-13 00:12:00,929]-[main] INFO  Exposed - Preparing alter table statements took 321ms
[2025-04-13 00:12:00,974]-[main] INFO  Exposed - Executing alter table statements took 45ms
[2025-04-13 00:12:01,110]-[main] INFO  Exposed - Checking mapping consistence took 136ms
[2025-04-13 00:12:01,158]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:12:01,201]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:12:01,249]-[main] INFO  Exposed - Extracting table columns took 48ms
[2025-04-13 00:12:01,294]-[main] INFO  Exposed - Extracting primary keys took 45ms
[2025-04-13 00:12:01,513]-[main] INFO  Exposed - Extracting column constraints took 219ms
[2025-04-13 00:12:01,513]-[main] INFO  Exposed - Preparing alter table statements took 312ms
[2025-04-13 00:12:01,555]-[main] INFO  Exposed - Executing alter table statements took 42ms
[2025-04-13 00:12:01,688]-[main] INFO  Exposed - Checking mapping consistence took 132ms
[2025-04-13 00:12:01,734]-[main] INFO  Exposed - Preparing create tables statements took 45ms
[2025-04-13 00:12:01,778]-[main] INFO  Exposed - Executing create tables statements took 43ms
[2025-04-13 00:12:01,824]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:12:01,869]-[main] INFO  Exposed - Extracting primary keys took 45ms
[2025-04-13 00:12:02,454]-[main] INFO  Exposed - Extracting column constraints took 585ms
[2025-04-13 00:12:02,454]-[main] INFO  Exposed - Preparing alter table statements took 676ms
